qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle	qcovs	contig_length	covered_percent	reads_number	taxaid	superkingdom	phylum	class	order	family	genus	species	new_virus	sample
k141_1147	AJG39091.1	99.62	527	2	0	1	1581	270	796	0	1032	796	AJG39091.1 PB1 [Wuhan Mosquito Virus 3]	97	2595	100	27825	1608128	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 3	NO	wz82
k141_5167	APG77861.1	99.618	786	3	0	29	2386	1	786	0	1613	786	APG77861.1 polymerase PB2 [Wuhan Mosquito Virus 4] 	97	2434	100	1126	1608129	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 4	NO	wz87
k141_3124	ASA47293.1	99.618	785	3	0	20	2374	1	785	0	1600	785	ASA47293.1 PB2 [Wuhan Mosquito Virus 6] 	97	2429	100	1594	1608131	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	NO	wz39
k141_2495	ASA47293.1	99.618	785	3	0	26	2380	1	785	0	1600	785	ASA47293.1 PB2 [Wuhan Mosquito Virus 6] 	97	2422	100	379	1608131	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	NO	wz38
k141_2458	ASA47293.1	99.618	785	3	0	24	2378	1	785	0	1600	785	ASA47293.1 PB2 [Wuhan Mosquito Virus 6] 	97	2436	100	9665	1608131	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	NO	wz85
k141_1236	APG77861.1	99.618	786	3	0	19	2376	1	786	0	1612	786	APG77861.1 polymerase PB2 [Wuhan Mosquito Virus 4] 	97	2425	100	868	1608129	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 4	NO	wz88
k141_1225	ASA47293.1	99.618	785	3	0	2410	56	1	785	0	1600	785	ASA47293.1 PB2 [Wuhan Mosquito Virus 6] 	97	2428	100	2463	1608131	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	NO	wz86
k141_6549	AJG39136.1	99.617	522	2	0	1567	2	1439	1960	0	1010	2085	"AJG39136.1 RNA-dependent RNA polymerase, partial [Shuangao Insect Virus 6]"	99	1569	100	178	1608080	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Shuangao Insect Virus 6	NO	wz26
k141_5217	ABV68938.1	99.617	522	2	0	1	1566	1685	2206	0	994	2467	ABV68938.1 nonstructural polyprotein [Getah virus]	100	1566	100	222	59300	Viruses	Unassigned	Unassigned	Unassigned	Togaviridae	Alphavirus	Getah virus	NO	wz93
k141_3232	ABX74939.1	99.617	261	1	0	785	3	913	1173	4.82E-166	510	1998	ABX74939.1 nonstructural polyprotein [Rhopalosiphum padi virus]	99	786	100	84	66834	Viruses	Unassigned	Unassigned	Picornavirales	Dicistroviridae	Cripavirus	Rhopalosiphum padi virus	NO	wz22
k141_2555	APG75628.1	99.617	261	1	0	2	784	46	306	0	543	351	APG75628.1 RdRp [Hubei mosquito virus 2] 	99	786	100	4183	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz78
k141_4389	KX882764.1	99.616	521	2	0	1	521	1846	2366	0	952	3094	"KX882764.1 Hubei mosquito virus 2 strain 3mos6212 segment 1 hypothetical protein 1 and RdRp genes, complete cds"	100	521	100	432	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz92
k141_5386	AJG39091.1	99.615	260	1	0	1	780	7	266	5.35E-175	507	796	AJG39091.1 PB1 [Wuhan Mosquito Virus 3]	99	781	100	579	1608128	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 3	NO	wz25
k141_3589	ALP32023.1	99.615	260	1	0	780	1	2633	2892	4.51E-177	546	5092	ALP32023.1 pp1ab polyprotein [Alphamesonivirus 1]	99	782	100	69	1312874	Viruses	Unassigned	Unassigned	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1	NO	wz112
k141_78	ASA47342.1	99.614	259	1	0	1019	243	2239	2497	0	541	5092	ASA47342.1 pp1ab polyprotein [Ngewotan virus]	100	1019	100	42	1265748	Viruses	Unassigned	Unassigned	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1	NO	wz118
k141_2825	ASA47293.1	99.614	259	1	0	29	805	1	259	0	535	785	ASA47293.1 PB2 [Wuhan Mosquito Virus 6] 	97	805	99.3789	301	1608131	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	NO	wz37
k141_3262	KX882764.1	99.612	258	1	0	1	258	869	1126	8.03E-131	472	3094	"KX882764.1 Hubei mosquito virus 2 strain 3mos6212 segment 1 hypothetical protein 1 and RdRp genes, complete cds"	100	258	100	1512	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz27
k141_799	ASA47474.1	99.611	257	1	0	141	911	529	785	1.74E-174	508	785	ASA47474.1 PB2 [Wuhan Mosquito Virus 6]	94	966	99.1718	447	1608131	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	NO	wz37
k141_4048	AJG39136.1	99.611	257	1	0	773	3	1384	1640	1.57E-171	526	2085	"AJG39136.1 RNA-dependent RNA polymerase, partial [Shuangao Insect Virus 6]"	99	778	97.0437	125	1608080	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Shuangao Insect Virus 6	NO	wz26
k141_807	AJG39275.1	99.609	256	1	0	1	768	1684	1939	3.74E-173	533	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	100	768	100	24952	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	NO	wz106
k141_7384	APG79114.1	99.609	256	1	0	3	770	808	1063	8.47E-173	519	1461	APG79114.1 RdRp [Hubei reo-like virus 12]	99	772	100	52	1923175	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei reo-like virus 12	NO	wz93
k141_3548	KC464457.1	99.609	511	2	0	1	511	10339	10849	0	933	10865	"KC464457.1 Mosquito flavivirus isolate LSFlaviV-A20-09, complete genome"	99	512	100	166	673515	Viruses	Unassigned	Unassigned	Unassigned	Flaviviridae	Flavivirus	Quang Binh virus	NO	wz69
k141_1842	AJG39275.1	99.605	253	1	0	759	1	1	253	8.35E-163	505	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	91	834	100	2019	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	NO	wz39
k141_4111	KX882873.1	99.603	252	1	0	1	252	3046	2795	1.69E-127	460	3072	"KX882873.1 Hubei mosquito virus 2 strain spider133708 segment 1 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"	100	252	100	1099	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz77
k141_2491	APG75627.1	99.603	252	1	0	1	756	6	257	2.83E-173	496	627	APG75627.1 hypothetical protein 1 [Hubei mosquito virus 2]	100	756	100	921	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz92
k141_2374	AJG39094.1	99.603	504	2	0	15	1526	1	504	0	1055	799	AJG39094.1 PB1 [Wuhan Mosquito Virus 6]	99	1528	100	10870	1608131	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	NO	wz87
k141_2104	AGW07468.1	99.603	252	1	0	757	2	351	602	4.15E-177	521	1092	AGW07468.1 replicase [Tobacco streak virus]	99	759	100	20	12317	Viruses	Unassigned	Unassigned	Unassigned	Bromoviridae	Ilarvirus	Tobacco streak virus	NO	wz55
k141_190	APG75627.1	99.603	252	1	0	757	2	56	307	2.17E-171	491	627	APG75627.1 hypothetical protein 1 [Hubei mosquito virus 2]	99	758	100	1956	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz77
k141_1088	KX882764.1	99.603	252	1	0	1	252	1135	884	1.69E-127	460	3094	"KX882764.1 Hubei mosquito virus 2 strain 3mos6212 segment 1 hypothetical protein 1 and RdRp genes, complete cds"	100	252	98.4127	612	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz28
k141_5108	KX883773.1	99.602	502	2	0	1	502	5220	5721	0	917	9141	"KX883773.1 Hubei virga-like virus 1 strain mosHB236471 hypothetical protein genes, complete cds"	100	502	100	29	1923324	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei virga-like virus 1	NO	wz28
k141_1085	AJG39136.1	99.6	250	1	0	752	3	1739	1988	2.31E-160	495	2085	"AJG39136.1 RNA-dependent RNA polymerase, partial [Shuangao Insect Virus 6]"	99	754	100	35	1608080	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Shuangao Insect Virus 6	NO	wz56
k141_3533	ALP32023.1	99.598	498	2	0	1	1494	4036	4533	0	1036	5092	ALP32023.1 pp1ab polyprotein [Alphamesonivirus 1]	99	1496	100	148	1312874	Viruses	Unassigned	Unassigned	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1	NO	wz85
k141_2106	APG75627.1	99.598	249	1	0	747	1	112	360	1.17E-169	487	627	APG75627.1 hypothetical protein 1 [Hubei mosquito virus 2]	99	748	100	2624	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz82
k141_11446	KX882764.1	99.597	248	1	0	1	248	2521	2768	2.78E-125	453	3094	"KX882764.1 Hubei mosquito virus 2 strain 3mos6212 segment 1 hypothetical protein 1 and RdRp genes, complete cds"	100	248	100	349	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz26
k141_4299	AMK38067.1	99.595	247	1	0	743	3	84	330	1.65E-171	487	508	AMK38067.1 glycoprotein [Merida virus]	99	744	100	1063	1803034	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Merida virus	NO	wz87
k141_3658	APG78242.1	99.595	494	2	0	98	1579	1	494	0	1031	494	APG78242.1 RdRp [Hubei partiti-like virus 56]	92	1608	100	567	1923065	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei partiti-like virus 56	NO	wz10
k141_244	APG78242.1	99.595	494	2	0	98	1579	1	494	0	1031	494	APG78242.1 RdRp [Hubei partiti-like virus 56]	91	1626	100	1595	1923065	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei partiti-like virus 56	NO	wz19
k141_11674	LC026102.1	99.595	247	1	0	1	247	819	573	9.95E-125	451	11190	"LC026102.1 Culex tritaeniorhynchus rhabdovirus viral cRNA, complete genome, strain: GHK"	100	247	100	10612	936308	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Culex tritaeniorhynchus rhabdovirus	NO	wz26
k141_613	AB604791.1	99.593	246	1	0	1	246	8071	8316	3.56E-124	449	11190	"AB604791.1 Culex tritaeniorhynchus rhabdovirus RNA, complete genome, strain: TY"	100	246	100	840	936308	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Culex tritaeniorhynchus rhabdovirus	NO	wz39
k141_6530	KX882764.1	99.592	245	1	0	1	245	2122	2366	1.28E-123	448	3094	"KX882764.1 Hubei mosquito virus 2 strain 3mos6212 segment 1 hypothetical protein 1 and RdRp genes, complete cds"	100	245	100	967	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz76
k141_2102	AJG39275.1	99.591	977	4	0	2	2932	1236	2212	0	1976	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	99	2932	100	169002	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	NO	wz106
k141_2328	DQ458789.2	99.588	243	1	0	1	243	11261	11503	1.64E-122	444	20192	"DQ458789.2 Nam Dinh virus isolate 02VN178, complete genome"	100	243	100	29708	325676	Viruses	Unassigned	Unassigned	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1	NO	wz88
k141_2467	AJG39275.1	99.587	242	1	0	728	3	135	376	1.68E-164	508	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	99	730	100	1620	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	NO	wz38
k141_9694	KM817759.1	99.586	2174	9	0	1	2174	35	2208	0	3965	2208	"KM817759.1 Wuhan Mosquito Virus 2 strain QN2-7 nucleopasid protein (N) gene, complete cds"	99	2183	100	1037	1608127	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Wuhan Mosquito Virus 2	NO	wz54
k141_2833	APG77458.1	99.585	963	4	0	2	2890	1861	2823	0	1996	2823	APG77458.1 hypothetical protein [Hubei arthropod virus 1]	98	2958	100	393	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	NO	wz86
k141_10604	APG75628.1	99.585	241	1	0	724	2	88	328	0	504	351	APG75628.1 RdRp [Hubei mosquito virus 2] 	99	725	100	2085	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz54
k141_5997	KM817759.1	99.584	2161	9	0	1	2161	48	2208	0	3941	2208	"KM817759.1 Wuhan Mosquito Virus 2 strain QN2-7 nucleopasid protein (N) gene, complete cds"	99	2166	100	469	1608127	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Wuhan Mosquito Virus 2	NO	wz52
k141_5019	APG79114.1	99.584	481	2	0	1444	2	137	617	0	965	1461	APG79114.1 RdRp [Hubei reo-like virus 12]	99	1446	100	328	1923175	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei reo-like virus 12	NO	wz53
k141_3078	ALR84812.1	99.584	481	2	0	1533	91	475	955	0	968	955	ALR84812.1 VP2 [Mangshi virus]	94	1533	100	324	1766829	Viruses	Unassigned	Unassigned	Unassigned	Reoviridae	Seadornavirus	Mangshi virus	NO	wz38
k141_4302	AFR68771.1	99.583	240	1	0	2	721	887	1126	3.09E-167	504	1464	AFR68771.1 P1 [Southern rice black-streaked dwarf virus]	99	722	100	68	519497	Viruses	Unassigned	Unassigned	Unassigned	Reoviridae	Fijivirus	Southern rice black-streaked dwarf virus	NO	wz19
k141_1744	APG77862.1	99.582	717	3	0	2186	36	1	717	0	1459	717	APG77862.1 polymerase PA [Wuhan Mosquito Virus 4] 	98	2200	100	1856	1608129	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 4	NO	wz88
k141_1585	APG77862.1	99.582	717	3	0	2187	37	1	717	0	1459	717	APG77862.1 polymerase PA [Wuhan Mosquito Virus 4] 	97	2207	100	1190	1608129	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 4	NO	wz84
k141_3474	KF771866.1	99.58	238	1	0	1	238	2626	2863	9.61E-120	435	20128	"KF771866.1 Nam Dinh virus isolate NDiV-NJ8-09, complete genome"	100	238	100	10329	325676	Viruses	Unassigned	Unassigned	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1	NO	wz88
k141_893	KF771866.1	99.579	950	4	0	1	950	20079	19130	0	1733	20128	"KF771866.1 Nam Dinh virus isolate NDiV-NJ8-09, complete genome"	100	950	100	62	325676	Viruses	Unassigned	Unassigned	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1	NO	wz90
k141_8453	AB604791.1	99.578	237	1	0	1	237	10646	10882	3.44E-119	433	11190	"AB604791.1 Culex tritaeniorhynchus rhabdovirus RNA, complete genome, strain: TY"	100	237	100	4604	936308	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Culex tritaeniorhynchus rhabdovirus	NO	wz26
k141_741	AJG39094.1	99.578	474	2	0	14	1435	1	474	0	997	799	AJG39094.1 PB1 [Wuhan Mosquito Virus 6]	99	1435	100	4354	1608131	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	NO	wz88
k141_416	KF771866.1	99.577	709	3	0	1	709	4161	4869	0	1293	20128	"KF771866.1 Nam Dinh virus isolate NDiV-NJ8-09, complete genome"	100	709	100	174923	325676	Viruses	Unassigned	Unassigned	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1	NO	wz88
k141_1982	KX883310.1	99.577	473	2	0	1	473	3929	3457	0	863	8729	"KX883310.1 Beihai picorna-like virus 77 strain BHBei75652 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"	100	473	100	51	1922624	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Beihai picorna-like virus 77	NO	wz19
k141_3608	MF176249.1	99.576	236	1	0	1	236	2069	2304	1.23E-118	431	2428	"MF176249.1 Wuhan Mosquito Virus 6 strain mos172gb65361 segment 2, complete sequence"	100	236	100	583	1608131	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	NO	wz87
k141_1179	KF522691.1	99.576	236	1	0	1	236	19098	18863	1.23E-118	431	20130	"KF522691.1 Nam Dinh virus isolate SZ11706Z, complete genome"	100	236	100	17181	325676	Viruses	Unassigned	Unassigned	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1	NO	wz88
k141_834	AB604791.1	99.575	471	2	0	1	471	10275	10745	0	859	11190	"AB604791.1 Culex tritaeniorhynchus rhabdovirus RNA, complete genome, strain: TY"	100	471	100	1981	936308	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Culex tritaeniorhynchus rhabdovirus	NO	wz81
k141_2716	KX883310.1	99.575	8714	37	0	1	8714	8714	1	0	15887	8729	"KX883310.1 Beihai picorna-like virus 77 strain BHBei75652 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"	96	9070	100	181528	1922624	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Beihai picorna-like virus 77	NO	wz55
k141_4253	BAA92846.1	99.574	235	1	0	705	1	919	1153	1.11E-163	501	1849	BAA92846.1 polyprotein [Sagiyama virus]	99	707	100	83	59303	Viruses	Unassigned	Unassigned	Unassigned	Togaviridae	Alphavirus	Getah virus	NO	wz93
k141_2901	AJG39275.1	99.573	234	1	0	702	1	513	746	1.82E-158	491	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	100	702	100	1405	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	NO	wz39
k141_1625	KX882765.1	99.572	467	2	0	1	467	1	467	0	852	1652	"KX882765.1 Hubei mosquito virus 2 strain 3mos6212 segment 2 hypothetical protein gene, complete cds "	100	467	100	1097	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz54
k141_870	KX884170.1	99.571	933	4	0	1	933	70	1002	0	1701	1472	"KX884170.1 Wuhan insect virus 23 strain spider96508 RdRp gene, complete cds"	100	933	100	1727	1923727	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Wuhan insect virus 23	NO	wz39
k141_1626	KX882764.1	99.57	698	3	0	1	698	2240	1543	0	1273	3094	"KX882764.1 Hubei mosquito virus 2 strain 3mos6212 segment 1 hypothetical protein 1 and RdRp genes, complete cds"	100	698	100	30546	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz75
k141_1259	ASA47330.1	99.569	232	1	0	4	699	1	232	5.59E-158	459	717	ASA47330.1 PA [Wuhan Mosquito Virus 6]	99	699	100	714	1608131	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	NO	wz86
k141_4041	APG79114.1	99.567	231	1	0	695	3	131	361	9.60E-154	468	1461	APG79114.1 RdRp [Hubei reo-like virus 12]	99	696	100	39	1923175	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei reo-like virus 12	NO	wz9
k141_847	APG79114.1	99.561	228	1	0	685	2	151	378	4.73E-151	461	1461	APG79114.1 RdRp [Hubei reo-like virus 12]	99	685	100	62	1923175	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei reo-like virus 12	NO	wz37
k141_2127	ASA47293.1	99.561	228	1	0	686	3	1	228	4.61E-162	472	785	ASA47293.1 PB2 [Wuhan Mosquito Virus 6] 	96	711	100	2365	1608131	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	NO	wz88
k141_136	AJG39275.1	99.559	227	1	0	686	6	1584	1810	1.96E-150	468	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	99	687	100	19008	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	NO	wz106
k141_51	KX882832.1	99.558	226	1	0	1	226	1667	1442	4.24E-113	412	3159	"KX882832.1 Hubei mosquito virus 2 strain mosZJ35453 segment 1 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"	100	226	100	732	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz76
k141_3814	KX883310.1	99.557	677	3	0	1	677	3965	4641	0	1234	8729	"KX883310.1 Beihai picorna-like virus 77 strain BHBei75652 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"	100	677	100	206	1922624	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Beihai picorna-like virus 77	NO	wz19
k141_986	APG75628.1	99.556	225	1	0	1	675	127	351	1.15E-167	471	351	APG75628.1 RdRp [Hubei mosquito virus 2] 	90	746	100	901	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz81
k141_3969	APG75628.1	99.556	225	1	0	675	1	46	270	1.21E-164	463	351	APG75628.1 RdRp [Hubei mosquito virus 2] 	99	676	100	2907	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz28
k141_12727	KX882764.1	99.556	225	1	0	1	225	1078	854	1.52E-112	411	3094	"KX882764.1 Hubei mosquito virus 2 strain 3mos6212 segment 1 hypothetical protein 1 and RdRp genes, complete cds"	100	225	95.5556	3	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz25
k141_5647	KX882764.1	99.554	224	1	0	1	224	2521	2744	5.43E-112	409	3094	"KX882764.1 Hubei mosquito virus 2 strain 3mos6212 segment 1 hypothetical protein 1 and RdRp genes, complete cds"	100	224	100	637	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz77
k141_4393	AB604791.1	99.554	224	1	0	1	224	3233	3010	5.43E-112	409	11190	"AB604791.1 Culex tritaeniorhynchus rhabdovirus RNA, complete genome, strain: TY"	100	224	100	442	936308	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Culex tritaeniorhynchus rhabdovirus	NO	wz54
k141_2588	KC464457.1	99.554	448	2	0	6	453	10799	10352	0	817	10865	"KC464457.1 Mosquito flavivirus isolate LSFlaviV-A20-09, complete genome"	99	453	100	127	673515	Viruses	Unassigned	Unassigned	Unassigned	Flaviviridae	Flavivirus	Quang Binh virus	NO	wz99
k141_1782	KX882764.1	99.554	224	1	0	1	224	2492	2269	5.43E-112	409	3094	"KX882764.1 Hubei mosquito virus 2 strain 3mos6212 segment 1 hypothetical protein 1 and RdRp genes, complete cds"	100	224	98.2143	75	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz76
k141_909	AJG39275.1	99.553	894	4	0	77	2758	1	894	0	1793	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	97	2760	100	4657	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	NO	wz40
k141_8093	KX882764.1	99.552	223	1	0	1	223	2544	2766	1.94E-111	407	3094	"KX882764.1 Hubei mosquito virus 2 strain 3mos6212 segment 1 hypothetical protein 1 and RdRp genes, complete cds"	100	223	100	508	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz74
k141_199	AJG39091.1	99.552	670	3	0	20	2029	1	670	0	1324	796	AJG39091.1 PB1 [Wuhan Mosquito Virus 3]	99	2029	100	25874	1608128	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 3	NO	wz75
k141_6083	KX882764.1	99.55	222	1	0	1	222	1027	1248	6.96E-111	405	3094	"KX882764.1 Hubei mosquito virus 2 strain 3mos6212 segment 1 hypothetical protein 1 and RdRp genes, complete cds"	100	222	100	859	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz76
k141_1874	AB604791.1	99.55	222	1	0	1	222	246	25	6.96E-111	405	11190	"AB604791.1 Culex tritaeniorhynchus rhabdovirus RNA, complete genome, strain: TY"	100	222	100	450	936308	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Culex tritaeniorhynchus rhabdovirus	NO	wz54
k141_1656	APG75628.1	99.55	222	1	0	2	667	46	267	2.25E-162	457	351	APG75628.1 RdRp [Hubei mosquito virus 2] 	99	667	100	6936	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz75
k141_1613	AJG39091.1	99.55	222	1	0	666	1	449	670	9.79E-146	430	796	AJG39091.1 PB1 [Wuhan Mosquito Virus 3]	99	668	100	2357	1608128	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 3	NO	wz75
k141_1438	AB604791.1	99.55	444	2	0	3	446	3766	3323	0	809	11190	"AB604791.1 Culex tritaeniorhynchus rhabdovirus RNA, complete genome, strain: TY"	99	446	100	4478	936308	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Culex tritaeniorhynchus rhabdovirus	NO	wz54
k141_8599	AB604791.1	99.548	221	1	0	1	221	6719	6939	2.50E-110	403	11190	"AB604791.1 Culex tritaeniorhynchus rhabdovirus RNA, complete genome, strain: TY"	99	222	81.0811	6	936308	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Culex tritaeniorhynchus rhabdovirus	NO	wz54
