qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle	qcovs	contig_length	covered_percent	reads_number	taxaid	superkingdom	phylum	class	order	family	genus	species	sample
k141_1373	KX883688.1	94.731	873	46	0	1	873	8203	9075	0	1358	11081	"KX883688.1 Hubei picorna-like virus 82 strain spider133992 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"	99	876	100	54	1923167	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 82	km31
k141_1093	KX883703.1	94.73	5939	309	4	1	5937	1126	7062	0	9230	9496	"KX883703.1 Hubei arthropod virus 1 strain SXSSP2046 hypothetical protein gene, complete cds"	100	5937	100	62237	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	km57
k141_6953	KX883297.1	94.723	739	39	0	1	739	7269	8007	0	1149	9539	"KX883297.1 Hubei arthropod virus 1 strain arthropodmix4509 hypothetical protein gene, complete cds"	100	739	100	477	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	km57
k141_14525	APG77727.1	94.701	736	39	0	2665	458	494	1229	0	1441	1229	"APG77727.1 hypothetical protein, partial [Hubei macula-like virus 3]"	83	2665	100	739	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km109
k141_6172	APF29060.1	94.681	282	15	0	847	2	494	775	0	562	2032	APF29060.1 L protein [Menghai rhabdovirus]	99	848	100	79	1919071	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Menghai rhabdovirus	km120
k141_17424	KX883799.1	94.681	282	15	0	1	282	2846	2565	9.03E-121	438	4179	"KX883799.1 Hubei macula-like virus 3 strain spider128797 hypothetical protein gene, partial cds; and hypothetical protein gene, complete cds"	99	283	100	7265	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km23
k141_657	KX883703.1	94.677	526	28	0	2	527	3953	4478	0	817	9496	"KX883703.1 Hubei arthropod virus 1 strain SXSSP2046 hypothetical protein gene, complete cds"	99	527	100	468	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	km58
k141_905	KX883688.1	94.667	450	24	0	1	450	5956	6405	0	699	11081	"KX883688.1 Hubei picorna-like virus 82 strain spider133992 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"	100	450	100	36	1923167	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 82	km102
k141_6780	APG77727.1	94.667	300	16	0	3	902	433	732	0	556	1229	"APG77727.1 hypothetical protein, partial [Hubei macula-like virus 3]"	99	904	100	3312	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km57
k141_11550	KM817661.1	94.667	375	18	2	1	374	30	403	1.93E-163	580	12774	"KM817661.1 Xincheng Mosquito Virus strain XC1-6 ORF1 (ORF1), ORF2 (ORF2), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds"	100	374	100	103	1608141	Viruses	Unassigned	Unassigned	Mononegavirales	Unassigned	Anphevirus	Xincheng anphevirus	km47
k141_9398	AGY80343.1	94.656	131	7	0	3	395	441	571	5.60E-71	236	2120	AGY80343.1 RNA dependent RNA polymerase [North Creek virus]	98	400	100	14	1406950	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	North Creek virus	km100
k141_2262	APG77727.1	94.656	131	7	0	2	394	213	343	4.93E-81	264	1229	"APG77727.1 hypothetical protein, partial [Hubei macula-like virus 3]"	99	395	100	238	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km58
k141_8229	KX883688.1	94.649	598	32	0	5	602	2037	1440	0	928	11081	"KX883688.1 Hubei picorna-like virus 82 strain spider133992 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"	99	602	100	42	1923167	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 82	km15
k141_9645	HM133581.1	94.643	56	3	0	748	803	440	495	2.37E-14	87.9	731	"HM133581.1 Maize rayado fino virus isolate NG31-14-2-MRFV polyprotein gene, partial cds"	3	1629	100	867	59749	Viruses	Unassigned	Unassigned	Tymovirales	Tymoviridae	Marafivirus	Maize rayado fino virus	km109
k141_5575	APG77727.1	94.643	112	6	0	3	338	579	690	1.28E-51	179	1229	"APG77727.1 hypothetical protein, partial [Hubei macula-like virus 3]"	99	340	93.8235	14	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km57
k141_4554	APG77725.1	94.643	112	6	0	2	337	225	336	2.52E-68	226	1022	"APG77725.1 hypothetical protein, partial [Hubei macula-like virus 3]"	99	337	100	118	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km100
k141_3900	HM133581.1	94.643	56	3	0	3140	3195	440	495	5.04E-14	87.9	731	"HM133581.1 Maize rayado fino virus isolate NG31-14-2-MRFV polyprotein gene, partial cds"	2	3436	100	728	59749	Viruses	Unassigned	Unassigned	Tymovirales	Tymoviridae	Marafivirus	Maize rayado fino virus	km100
k141_272	HM133581.1	94.643	56	3	0	2936	2991	440	495	8.54E-14	87.9	731	"HM133581.1 Maize rayado fino virus isolate NG31-14-2-MRFV polyprotein gene, partial cds"	1	5801	100	1733	59749	Viruses	Unassigned	Unassigned	Tymovirales	Tymoviridae	Marafivirus	Maize rayado fino virus	km12
k141_2164	HM133581.1	94.643	56	3	0	149	204	495	440	1.67E-14	87.9	731	"HM133581.1 Maize rayado fino virus isolate NG31-14-2-MRFV polyprotein gene, partial cds"	5	1157	100	786	59749	Viruses	Unassigned	Unassigned	Tymovirales	Tymoviridae	Marafivirus	Maize rayado fino virus	km122
k141_4074	KX883703.1	94.633	354	19	0	1	354	3294	2941	5.12E-154	549	9496	"KX883703.1 Hubei arthropod virus 1 strain SXSSP2046 hypothetical protein gene, complete cds"	100	354	100	23	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	km96
k141_993	KX883703.1	94.609	742	40	0	1	742	5850	6591	0	1149	9496	"KX883703.1 Hubei arthropod virus 1 strain SXSSP2046 hypothetical protein gene, complete cds"	99	743	100	41	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	km119
k141_963	KX883688.1	94.602	389	21	0	1	389	5432	5820	4.32E-170	603	11081	"KX883688.1 Hubei picorna-like virus 82 strain spider133992 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"	99	392	100	4	1923167	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 82	km41
k141_3517	KM817661.1	94.6	500	27	0	2	501	7274	6775	0	774	12774	"KM817661.1 Xincheng Mosquito Virus strain XC1-6 ORF1 (ORF1), ORF2 (ORF2), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds"	99	501	100	36	1608141	Viruses	Unassigned	Unassigned	Mononegavirales	Unassigned	Anphevirus	Xincheng anphevirus	km50
k141_9237	KM817697.1	94.595	444	24	0	8	451	5520	5077	0	688	6474	"KM817697.1 Wuhan Mosquito Virus 1 strain WT3-15 RNA-dependent RNA polymerase (L) gene, complete cds"	98	451	99.7783	41	1608126	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Wuhan Mosquito Virus 1	km103
k141_1177	KX883688.1	94.584	517	28	0	1	517	8887	8371	0	800	11081	"KX883688.1 Hubei picorna-like virus 82 strain spider133992 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"	100	517	100	31	1923167	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 82	km1
k141_2178	HQ585106.1	94.583	240	13	0	1	240	131	370	7.72E-101	372	1059	"HQ585106.1 Picorna-like virus Eptesicus fuscus/P5/InLV/IT/USA/2009 polyprotein gene, partial cds"	100	240	85.4167	11	931917	Viruses	Unassigned	Unassigned	Picornavirales	Picornaviridae	Unassigned	Picorna-like virus Eptesicus fuscus/P5/InLV/IT/USA/2009	km58
k141_1450	APF29058.1	94.582	443	24	0	1476	148	1	443	0	837	443	APF29058.1 G protein [Menghai rhabdovirus]	87	1526	100	180	1919071	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Menghai rhabdovirus	km57
k141_8634	KM817661.1	94.577	461	25	0	6	466	4125	4585	0	713	12774	"KM817661.1 Xincheng Mosquito Virus strain XC1-6 ORF1 (ORF1), ORF2 (ORF2), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds"	99	466	100	11	1608141	Viruses	Unassigned	Unassigned	Mononegavirales	Unassigned	Anphevirus	Xincheng anphevirus	km50
k141_1502	KX883297.1	94.575	424	23	0	1	424	7511	7934	0	656	9539	"KX883297.1 Hubei arthropod virus 1 strain arthropodmix4509 hypothetical protein gene, complete cds"	100	424	100	683	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	km58
k141_3881	APG77727.1	94.574	129	7	0	1	387	306	434	4.98E-83	269	1229	"APG77727.1 hypothetical protein, partial [Hubei macula-like virus 3]"	100	387	100	949	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km23
k141_6875	KX883915.1	94.569	2228	121	0	7	2234	6370	8597	0	3445	8681	"KX883915.1 Hubei picorna-like virus 61 strain mosHB235903 hypothetical protein gene, complete cds"	99	2234	100	595	1923144	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 61	km11
k141_2039	KX883688.1	94.568	1307	71	0	1	1307	2552	3858	0	2021	11081	"KX883688.1 Hubei picorna-like virus 82 strain spider133992 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"	100	1307	100	23321	1923167	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 82	km23
k141_1589	KM817726.1	94.567	497	26	1	1	497	2187	1692	0	767	2217	"KM817726.1 Wuhan Mosquito Virus 1 strain WT3-15 glycoprotein precursor (G) gene, complete cds"	100	497	100	33	1608126	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Wuhan Mosquito Virus 1	km97
k141_3841	ASA47309.1	94.55	367	20	0	1103	3	659	1025	0	739	1118	ASA47309.1 RdRp [Hubei chryso-like virus 1] 	99	1104	100	91	1922855	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei chryso-like virus 1	km48
k141_856	APF29060.1	94.545	220	12	0	3	662	1785	2004	1.22E-122	388	2032	APF29060.1 L protein [Menghai rhabdovirus]	99	662	99.6979	1210	1919071	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Menghai rhabdovirus	km23
k141_2501	KX883688.1	94.542	568	31	0	2	569	2037	1470	0	878	11081	"KX883688.1 Hubei picorna-like virus 82 strain spider133992 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"	99	573	100	20	1923167	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 82	km34
k141_3518	KX883688.1	94.533	439	24	0	1	439	3162	2724	0	678	11081	"KX883688.1 Hubei picorna-like virus 82 strain spider133992 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"	100	439	100	15	1923167	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 82	km31
k141_3546	KM817697.1	94.531	384	21	0	1	384	2674	3057	1.97E-168	597	6474	"KM817697.1 Wuhan Mosquito Virus 1 strain WT3-15 RNA-dependent RNA polymerase (L) gene, complete cds"	100	384	100	16	1608126	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Wuhan Mosquito Virus 1	km57
k141_3460	APG77725.1	94.531	128	7	0	2	385	736	863	6.25E-80	259	1022	"APG77725.1 hypothetical protein, partial [Hubei macula-like virus 3]"	99	385	100	2932	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km57
k141_8842	APG77727.1	94.529	329	18	0	3	989	578	906	0	613	1229	"APG77727.1 hypothetical protein, partial [Hubei macula-like virus 3]"	99	991	100	351	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km48
k141_5241	KX883915.1	94.514	401	22	0	1	401	8149	8549	4.39E-175	619	8681	"KX883915.1 Hubei picorna-like virus 61 strain mosHB235903 hypothetical protein gene, complete cds"	100	401	100	75	1923144	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 61	km58
k141_2728	APG77727.1	94.512	164	9	0	1	492	716	879	5.10E-105	331	1229	"APG77727.1 hypothetical protein, partial [Hubei macula-like virus 3]"	99	493	100	10	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km51
k141_8209	APG77725.1	94.505	273	15	0	1	819	283	555	4.68E-163	484	1022	"APG77725.1 hypothetical protein, partial [Hubei macula-like virus 3]"	99	820	100	22	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km15
k141_4467	KX883703.1	94.505	728	40	0	1	728	6817	6090	0	1123	9496	"KX883703.1 Hubei arthropod virus 1 strain SXSSP2046 hypothetical protein gene, complete cds"	99	729	100	38	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	km36
k141_5416	APG77725.1	94.495	109	6	0	1	327	727	835	5.20E-69	228	1022	"APG77725.1 hypothetical protein, partial [Hubei macula-like virus 3]"	99	329	94.2249	5	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km30
k141_1674	AJG39095.1	94.495	109	6	0	139	465	1	109	8.67E-57	194	766	AJG39095.1 PB1 [Wuhan Mosquito Virus 7]	70	467	100	702	1608132	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 7	km94
k141_4701	KX883688.1	94.494	672	37	0	1	672	1366	2037	0	1037	11081	"KX883688.1 Hubei picorna-like virus 82 strain spider133992 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"	99	677	100	33	1923167	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 82	km32
k141_88	KX883915.1	94.484	417	23	0	1	417	5479	5895	0	643	8681	"KX883915.1 Hubei picorna-like virus 61 strain mosHB235903 hypothetical protein gene, complete cds"	100	417	100	35	1923144	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 61	km15
k141_4743	APF29060.1	94.475	181	10	0	2	544	1693	1873	1.58E-113	360	2032	APF29060.1 L protein [Menghai rhabdovirus]	99	546	100	226	1919071	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Menghai rhabdovirus	km23
k141_2077	KX883915.1	94.458	397	22	0	1	397	2103	1707	7.26E-173	612	8681	"KX883915.1 Hubei picorna-like virus 61 strain mosHB235903 hypothetical protein gene, complete cds"	100	397	98.7406	483	1923144	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 61	km33
k141_2267	KX883297.1	94.455	1082	56	4	1	1080	4083	3004	0	1663	9539	"KX883297.1 Hubei arthropod virus 1 strain arthropodmix4509 hypothetical protein gene, complete cds"	100	1080	100	47	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	km34
k141_1141	KX883703.1	94.454	1190	66	0	3	1192	6015	7204	0	1832	9496	"KX883703.1 Hubei arthropod virus 1 strain SXSSP2046 hypothetical protein gene, complete cds"	99	1192	100	6208	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	km58
k141_6118	KX883297.1	94.444	342	19	0	1	342	5636	5977	2.31E-147	527	9539	"KX883297.1 Hubei arthropod virus 1 strain arthropodmix4509 hypothetical protein gene, complete cds"	100	342	93.5673	80	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	km58
k141_15134	APF29060.1	94.444	108	6	0	326	3	1558	1665	1.81E-52	182	2032	APF29060.1 L protein [Menghai rhabdovirus]	99	327	52.9052	14	1919071	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Menghai rhabdovirus	km23
k141_1441	APG77725.1	94.444	108	6	0	2	325	162	269	4.58E-67	223	1022	"APG77725.1 hypothetical protein, partial [Hubei macula-like virus 3]"	99	325	100	13	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km1
k141_1430	KX883703.1	94.432	431	24	0	1	431	5897	5467	0	664	9496	"KX883703.1 Hubei arthropod virus 1 strain SXSSP2046 hypothetical protein gene, complete cds"	100	431	98.6079	514	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	km58
k141_4760	KX785335.1	94.416	197	11	0	5	201	5168	5364	2.33E-80	303	10744	"KX785335.1 Menghai rhabdovirus isolate Menghai, complete genome"	98	201	94.5274	20	1919071	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Menghai rhabdovirus	km47
k141_756	APQ44495.1	94.406	143	8	0	3	431	2595	2737	1.35E-88	287	2821	APQ44495.1 polyprotein [Basavirus sp.]	99	432	100	81	1930507	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Basavirus sp.	km31
k141_4374	APG77725.1	94.393	107	6	0	3	323	191	297	1.42E-65	218	1022	"APG77725.1 hypothetical protein, partial [Hubei macula-like virus 3]"	99	323	100	13	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km97
k141_3477	YP_009337062.1	94.393	107	6	0	3	323	1082	1188	1.84E-63	213	2741	YP_009337062.1 hypothetical protein [Hubei picorna-like virus 61] 	99	325	100	17	1923144	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 61	km13
k141_3732	KX673240.1	94.378	1245	68	2	1	1244	7082	8325	0	1910	8829	"KX673240.1 Basavirus sp. isolate 16715_77, complete genome"	99	1245	100	1451	1930507	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Basavirus sp.	km15
k141_101	KX883799.1	94.361	532	29	1	1	532	3649	4179	0	815	4179	"KX883799.1 Hubei macula-like virus 3 strain spider128797 hypothetical protein gene, partial cds; and hypothetical protein gene, complete cds"	89	596	100	4804	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km58
k141_7086	AJG39251.1	94.34	106	6	0	319	2	741	846	7.11E-60	202	2050	AJG39251.1 RNA-dependent RNA polymerase [Shuangao Insect Virus 3]	99	321	100	16	1608077	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Shuangao Insect Virus 3	km24
k141_1157	AJG39095.1	94.34	106	6	0	3	320	661	766	3.99E-42	152	766	AJG39095.1 PB1 [Wuhan Mosquito Virus 7]	89	358	100	24	1608132	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 7	km57
k141_4122	APG77725.1	94.326	141	8	0	3	425	438	578	9.50E-76	248	1022	"APG77725.1 hypothetical protein, partial [Hubei macula-like virus 3]"	99	427	100	12	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km50
k141_3403	KX883915.1	94.318	704	38	2	1	702	1	704	0	1077	8681	"KX883915.1 Hubei picorna-like virus 61 strain mosHB235903 hypothetical protein gene, complete cds"	99	704	100	310	1923144	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 61	km58
k141_1205	APG77985.1	94.318	264	15	0	1	792	1736	1999	9.11E-174	532	2074	APG77985.1 hypothetical protein 1 [Hubei picorna-like virus 15]	99	794	100	107	1923094	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 15	km30
k141_1110	APG76298.1	94.315	387	22	0	1161	1	1	387	0	775	546	"APG76298.1 hypothetical protein 2, partial [Shangao tombus-like virus 1]"	64	1812	100	220	1923458	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Shangao tombus-like virus 1	km104
k141_1427	YP_009182186.1	94.313	211	12	0	634	2	693	903	3.64E-130	409	2122	YP_009182186.1 putative RNA-dependent RNA polymerase [Tongilchon virus 1] 	99	635	100	30	1758878	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Tongilchon virus 1	km43
k141_5400	APG77725.1	94.309	123	7	0	1	369	695	817	1.40E-77	252	1022	"APG77725.1 hypothetical protein, partial [Hubei macula-like virus 3]"	99	371	100	224	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km58
k141_3061	AJG39251.1	94.309	369	21	0	1107	1	1200	1568	0	673	2050	AJG39251.1 RNA-dependent RNA polymerase [Shuangao Insect Virus 3]	99	1108	100	220	1608077	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Shuangao Insect Virus 3	km68
k141_12169	KM817661.1	94.296	859	49	0	1	859	7052	6194	0	1315	12774	"KM817661.1 Xincheng Mosquito Virus strain XC1-6 ORF1 (ORF1), ORF2 (ORF2), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds"	100	859	100	54	1608141	Viruses	Unassigned	Unassigned	Mononegavirales	Unassigned	Anphevirus	Xincheng anphevirus	km47
k141_1131	KX883915.1	94.294	1332	74	2	1	1331	5730	7060	0	2037	8681	"KX883915.1 Hubei picorna-like virus 61 strain mosHB235903 hypothetical protein gene, complete cds"	100	1331	100	462	1923144	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 61	km58
k141_4141	APF29058.1	94.286	245	14	0	919	185	199	443	2.01E-154	444	443	APF29058.1 G protein [Menghai rhabdovirus]	80	921	100	843	1919071	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Menghai rhabdovirus	km23
k141_2469	KX883799.1	94.286	350	20	0	1	350	3997	3648	3.95E-150	536	4179	"KX883799.1 Hubei macula-like virus 3 strain spider128797 hypothetical protein gene, partial cds; and hypothetical protein gene, complete cds"	99	351	100	4317	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km23
k141_5633	KX883688.1	94.264	401	23	0	1	401	1361	1761	2.06E-173	614	11081	"KX883688.1 Hubei picorna-like virus 82 strain spider133992 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"	99	405	100	23	1923167	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 82	km12
k141_8071	APF29058.1	94.262	244	14	0	433	1164	1	244	1.31E-169	486	443	APF29058.1 G protein [Menghai rhabdovirus]	63	1165	100	2115	1919071	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Menghai rhabdovirus	km23
k141_7347	ASA47488.1	94.262	244	14	0	732	1	260	503	8.04E-149	444	958	ASA47488.1 hypothetical protein [Hubei chryso-like virus 1]	99	733	100	42	1922855	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei chryso-like virus 1	km48
k141_917	KX883688.1	94.26	784	45	0	2	785	8102	8885	0	1199	11081	"KX883688.1 Hubei picorna-like virus 82 strain spider133992 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"	99	785	100	24	1923167	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 82	km41
k141_812	KX883703.1	94.258	627	36	0	1	627	6093	5467	0	959	9496	"KX883703.1 Hubei arthropod virus 1 strain SXSSP2046 hypothetical protein gene, complete cds"	100	627	100	1277	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	km58
k141_1667	KP642119.1	94.253	87	5	0	2381	2467	11	97	4.58E-28	134	3246	"KP642119.1 Narnaviridae environmental sample clone sraf.cpip_contig2643 RNA-dependent RNA polymerase gene, complete cds"	4	2473	100	14865	1628188	Viruses	Unassigned	Unassigned	Unassigned	Narnaviridae	Unassigned	Narnaviridae environmental sample	km94
k141_3284	KX883688.1	94.236	399	23	0	1	399	2002	2400	2.63E-172	610	11081	"KX883688.1 Hubei picorna-like virus 82 strain spider133992 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"	100	399	100	1623	1923167	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 82	km23
k141_61	APG77725.1	94.231	104	6	0	314	3	745	848	4.04E-63	211	1022	"APG77725.1 hypothetical protein, partial [Hubei macula-like virus 3]"	99	316	93.9873	112	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km47
k141_11950	KX883915.1	94.218	1176	66	2	1	1175	6823	5649	0	1794	8681	"KX883915.1 Hubei picorna-like virus 61 strain mosHB235903 hypothetical protein gene, complete cds"	100	1175	100	219	1923144	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 61	km47
k141_2043	KX883297.1	94.217	415	24	0	1	415	3026	3440	1.63E-179	634	9539	"KX883297.1 Hubei arthropod virus 1 strain arthropodmix4509 hypothetical protein gene, complete cds"	100	415	100	43	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	km121
k141_9780	KX883799.1	94.2	500	29	0	1	500	4149	3650	0	763	4179	"KX883799.1 Hubei macula-like virus 3 strain spider128797 hypothetical protein gene, partial cds; and hypothetical protein gene, complete cds"	100	500	100	31292	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km23
k141_10273	KX883910.1	94.195	11765	670	13	1	11759	2	11759	0	17930	12155	"KX883910.1 Shuangao insect virus 8 strain insectZJ96360 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds"	100	11759	100	17164	1923469	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Shuangao insect virus 8	km14
k141_4276	ARF07018.1	94.194	155	9	0	589	125	1279	1433	7.94E-93	301	1433	ARF07018.1 polyprotein [Oya virus]	79	591	100	27	181003	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Simbu orthobunyavirus	km35
k141_5468	KX883915.1	94.181	2681	156	0	2	2682	8600	5920	0	4087	8681	"KX883915.1 Hubei picorna-like virus 61 strain mosHB235903 hypothetical protein gene, complete cds"	99	2682	100	874	1923144	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 61	km13
k141_6833	YP_009337352.1	94.175	103	6	0	393	85	271	373	1.03E-64	209	515	YP_009337352.1 hypothetical protein 1 [Wenzhou sobemo-like virus 3] 	78	395	100	20	1923659	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Wenzhou sobemo-like virus 3	km50
